"";"latitude";"longitude";"unixtime";"velocidades";"file_name"
"451";41,907885;12,49165;2014-02-12 12:01:54;1;320
"488";41,903112;12,496096;2014-02-12 12:01:56;1;100
"521";41,903634;12,488655;2014-02-12 12:01:57;0;85
"526";41,90425;12,49432;2014-02-12 12:01:59;0;242
"530";41,907974;12,49189;2014-02-12 12:02:00;0;237
"537";41,90827;12,489198;2014-02-12 12:02:02;20;24
"543";41,907621;12,49061;2014-02-12 12:02:03;0;349
"539";41,903843;12,489094;2014-02-12 12:02:03;0;131
"545";41,907645;12,490327;2014-02-12 12:02:03;0;81
"591";41,90786;12,491658;2014-02-12 12:02:04;0;320
"596";41,903156;12,496076;2014-02-12 12:02:06;1;100
"597";41,903521;12,488364;2014-02-12 12:02:06;16;126
"606";41,903634;12,488655;2014-02-12 12:02:07;0;85
"612";41,907974;12,49189;2014-02-12 12:02:09;0;237
"620";41,904255;12,494318;2014-02-12 12:02:09;0;242
"623";41,90439;12,488628;2014-02-12 12:02:09;19;48
"500";41,907822;12,489506;2014-02-12 12:02:12;2;24
"503";41,907645;12,490327;2014-02-12 12:02:12;0;81
"504";41,903843;12,489094;2014-02-12 12:02:13;0;131
"510";41,907642;12,490609;2014-02-12 12:02:14;0;349
"509";41,907866;12,491676;2014-02-12 12:02:14;3;320
"511";41,903158;12,496038;2014-02-12 12:02:15;2;100
"515";41,903681;12,488874;2014-02-12 12:02:16;17;126
"550";41,903634;12,488655;2014-02-12 12:02:17;0;85
"557";41,903906;12,488633;2014-02-12 12:02:19;8;48
"562";41,90427;12,494331;2014-02-12 12:02:21;1;242
"567";41,907768;12,489538;2014-02-12 12:02:22;20;24
"569";41,907636;12,490329;2014-02-12 12:02:22;0;81
"574";41,907646;12,490595;2014-02-12 12:02:23;0;349
"571";41,903843;12,489094;2014-02-12 12:02:23;0;131
"572";41,907974;12,49189;2014-02-12 12:02:23;0;237
"629";41,907785;12,491735;2014-02-12 12:02:24;0;320
"630";41,903179;12,49613;2014-02-12 12:02:25;0;100
"638";41,904109;12,488878;2014-02-12 12:02:26;14;126
"648";41,903635;12,488658;2014-02-12 12:02:26;0;85
"653";41,907974;12,49189;2014-02-12 12:02:28;0;237
"664";41,903781;12,488421;2014-02-12 12:02:29;0;48
"575";41,904275;12,494363;2014-02-12 12:02:30;0;242
"581";41,907332;12,489875;2014-02-12 12:02:32;18;24
"588";41,907657;12,4906;2014-02-12 12:02:33;0;349
"586";41,903843;12,489094;2014-02-12 12:02:33;0;131
"589";41,907619;12,490326;2014-02-12 12:02:33;0;81
"618";41,90779;12,491726;2014-02-12 12:02:35;0;320
"613";41,903178;12,496119;2014-02-12 12:02:35;0;100
"619";41,90441;12,488594;2014-02-12 12:02:36;37;126
"714";41,903635;12,488658;2014-02-12 12:02:37;0;85
"722";41,907974;12,49189;2014-02-12 12:02:39;0;237
"723";41,904263;12,494364;2014-02-12 12:02:39;1;242
"724";41,903781;12,488421;2014-02-12 12:02:39;0;48
"737";41,907657;12,4906;2014-02-12 12:02:43;0;349
"738";41,907619;12,490326;2014-02-12 12:02:43;0;81
"626";41,906812;12,490152;2014-02-12 12:02:44;0;24
"740";41,903843;12,489094;2014-02-12 12:02:44;0;131
"634";41,90779;12,491726;2014-02-12 12:02:44;4;320
"637";41,903193;12,496111;2014-02-12 12:02:45;1;100
