"";"longitude";"latitude";"unixtime";"file_name";"velocidades"
"1543";-79,882638375038;-2,18519096838772;2017-10-28 17:10:39;"179";26,09
"1292";-79,8821172607643;-2,18655553850848;2017-10-28 17:10:40;"172";52,96
"545";-79,8832966196256;-2,18759330916854;2017-10-28 17:10:41;"161";46,84
"672";-79,8833399958747;-2,1877156685752;2017-10-28 17:10:42;"162";46,86
"793";-79,8829535653208;-2,18601514564744;2017-10-28 17:10:42;"165";11,23
"2148";-79,8807409981663;-2,18836040335956;2017-10-28 17:10:42;"184";35,96
"2525";-79,8832758817211;-2,18743260900116;2017-10-28 17:10:42;"188";0
"2865";-79,88203052;-2,18521677;2017-10-28 17:10:42;"194";5,73
"1999";-79,8851425386965;-2,18828060198575;2017-10-28 17:10:44;"183";14,52
"2312";-79,8828575416596;-2,18542158001212;2017-10-28 17:10:44;"186";34,52
"1544";-79,8827266547407;-2,18560576794904;2017-10-28 17:10:44;"179";36,22
"1293";-79,8823212141187;-2,18716072193205;2017-10-28 17:10:45;"172";58,26
"546";-79,8834219576842;-2,188110011178;2017-10-28 17:10:46;"161";46,23
"673";-79,883469278316;-2,18821187054196;2017-10-28 17:10:47;"162";45,03
"794";-79,8830314560733;-2,186360445368;2017-10-28 17:10:47;"165";30,47
"1403";-79,8812133;-2,18977175;2017-10-28 17:10:47;"178";39,6
"2149";-79,8807686347004;-2,1886102519304;2017-10-28 17:10:47;"184";19,98
"2526";-79,8832758817211;-2,18743260900116;2017-10-28 17:10:47;"188";0
"2866";-79,88201616;-2,18520927;2017-10-28 17:10:47;"194";1,57
"2000";-79,8851348273456;-2,18829099554569;2017-10-28 17:10:49;"183";1,3
"1545";-79,8828444404016;-2,18601409494798;2017-10-28 17:10:49;"179";37,88
"1294";-79,8824586117279;-2,18769826708541;2017-10-28 17:10:50;"172";48,6
"547";-79,8835450959791;-2,18861269619009;2017-10-28 17:10:51;"161";45,06
"674";-79,8835925346603;-2,18869699550444;2017-10-28 17:10:52;"162";43,8
"795";-79,8831500423854;-2,18685862363721;2017-10-28 17:10:52;"165";44,41
"1404";-79,88133418;-2,19002914;2017-10-28 17:10:52;"178";27,24
"2150";-79,8808765246967;-2,18886585002608;2017-10-28 17:10:52;"184";26,17
"2527";-79,8832817174358;-2,18745867462628;2017-10-28 17:10:52;"188";2,3
"1680";-79,8827294476034;-2,18630304430321;2017-10-28 17:10:53;"180";20,12
"1858";-79,8827294476034;-2,18630304430321;2017-10-28 17:10:53;"182";20,12
"2001";-79,8851348273456;-2,18829099554569;2017-10-28 17:10:54;"183";0
"2313";-79,8825176991601;-2,18666990498587;2017-10-28 17:10:54;"186";57,17
"2867";-79,88207456;-2,18523663;2017-10-28 17:10:54;"194";4,41
"1546";-79,8829483092064;-2,18642739198615;2017-10-28 17:10:54;"179";37,24
"1295";-79,8824837097532;-2,18803966944746;2017-10-28 17:10:55;"172";26,39
"548";-79,883670744611;-2,18910975997087;2017-10-28 17:10:56;"161";44,84
"675";-79,8837189836547;-2,18918321655086;2017-10-28 17:10:57;"162";44,11
"796";-79,8832822939648;-2,18738914502112;2017-10-28 17:10:57;"165";47,72
"2528";-79,8833075947077;-2,18769614150184;2017-10-28 17:10:57;"188";18,96
"2151";-79,8809855735208;-2,18931860188249;2017-10-28 17:10:58;"184";33,71
"1681";-79,8829882527636;-2,18672608985634;2017-10-28 17:10:58;"180";48,98
"1859";-79,8829882527636;-2,18672608985634;2017-10-28 17:10:58;"182";48,98
"2002";-79,8851348273456;-2,18829099554569;2017-10-28 17:10:59;"183";0
"2314";-79,8827034300616;-2,18696272253649;2017-10-28 17:10:59;"186";34,46
"2868";-79,88207214;-2,18521829;2017-10-28 17:10:59;"194";1,49
"1547";-79,8830552106765;-2,18688383084143;2017-10-28 17:10:59;"179";40,56
